speciesKey,scientificName,canonicalName,matchType,Orig_name
2501066,"Paratenuisentis ambiguus (Van Cleave, 1921)",Paratenuisentis ambiguus,EXACT,"Paratenuisentis ambiguus (Van Cleave, 1921)"
2500461,"Acanthocephalus anguillae (Müller, 1780)",Acanthocephalus anguillae,EXACT,"Acanthocephalus anguillae (Müller, 1780)"
2500685,"Pomphorhynchus laevis (Zoega, 1776)",Pomphorhynchus laevis,EXACT,"Pomphorhynchus laevis (Zoega, 1776)"
4411080,"Erpobdella testacea (Savigny, 1822)",Erpobdella testacea,EXACT,"Erpobdella testacea (Savigny, 1822)"
2308887,"Hirudo medicinalis Linnaeus, 1758",Hirudo medicinalis,EXACT,"Hirudo medicinalis Linnaeus, 1758"
4411124,"Trocheta cylindrica Orley, 1886",Trocheta cylindrica,EXACT,"Trocheta cylindrica Orley, 1886"
4411119,"Trocheta pseudodina Nesemann, 1990",Trocheta pseudodina,EXACT,"Trocheta pseudodina Nesemann, 1990"
7389097,"Cambarincola gracilis Robinson, 1954",Cambarincola gracilis,EXACT,"Cambarincola gracilis Robinson, 1954"
8256670,"Cambarincola mesochoreus Hoffman, 1963",Cambarincola mesochoreus,EXACT,"Cambarincola mesochoreus Hoffman, 1963"
8168527,"Cambarincola okadai Yamaguchi, 1933",Cambarincola okadai,EXACT,"Cambarincola okadai Yamaguchi, 1933"
8274448,"Cambarincola pamelae Holt, 1984",Cambarincola pamelae,EXACT,"Cambarincola pamelae Holt, 1984"
7849089,"Xironogiton instabilius (Moore, 1894)",Xironogiton instabilius,EXACT,"Xironogiton instabilius (Moore, 1894)"
2307544,"Xironogiton victoriensis Gelder & Hall, 1990",Xironogiton victoriensis,EXACT,"Xironogiton victoriensis Gelder & Hall, 1990"
4410938,"Allolobophora chlorotica (Savigny, 1826)",Allolobophora chlorotica,EXACT,"Allolobophora chlorotica (Savigny, 1826)"
8941475,"Allolobophora parva Eisen, 1874",Allolobophora parva,EXACT,"Allolobophora parva Eisen, 1874"
9536503,"Amynthas aeruginosus Kinberg, 1866",Amynthas aeruginosus,EXACT,"Amynthas aeruginosus Kinberg, 1866"
9225458,"Amynthas agrestis (Goto & Hatai, 1899)",Amynthas agrestis,EXACT,"Amynthas agrestis (Goto & Hatai, 1899)"
2307610,"Amynthas corticis (Kinberg, 1866)",Amynthas corticis,EXACT,"Amynthas corticis (Kinberg, 1866)"
2307609,"Amynthas gracilis (Kinberg, 1866)",Amynthas gracilis,EXACT,"Amynthas gracilis (Kinberg, 1866)"
4410206,"Amynthas rodericensis (Grube, 1879)",Amynthas rodericensis,EXACT,"Amynthas rodericensis (Grube, 1879)"
2307759,"Aporrectodea caliginosa (Savigny, 1826)",Aporrectodea caliginosa,EXACT,"Aporrectodea caliginosa (Savigny, 1826)"
2307759,"Aporrectodea caliginosa caliginosa (Savigny, 1826)",Aporrectodea caliginosa caliginosa,EXACT,"Aporrectodea caliginosa caliginosa (Savigny, 1826)"
4410702,"Aporrectodea georgii (Michaelsen, 1890)",Aporrectodea georgii,EXACT,"Aporrectodea georgii (Michaelsen, 1890)"
4410818,"Aporrectodea icterica (Savigny, 1826)",Aporrectodea icterica,EXACT,"Aporrectodea icterica (Savigny, 1826)"
4410778,"Aporrectodea limicola (Michaelsen, 1890)",Aporrectodea limicola,EXACT,"Aporrectodea limicola (Michaelsen, 1890)"
2307757,"Aporrectodea longa (Ude, 1885)",Aporrectodea longa,EXACT,"Aporrectodea longa (Ude, 1885)"
2307760,"Aporrectodea rosea (Savigny, 1826)",Aporrectodea rosea,EXACT,"Aporrectodea rosea (Savigny, 1826)"
4410738,"Aporrectodea smaragdina (Rosa, 1892)",Aporrectodea smaragdina,EXACT,"Aporrectodea smaragdina (Rosa, 1892)"
4410235,"Benhamia affinis Michaelsen, 1890",Benhamia affinis,EXACT,"Benhamia affinis Michaelsen, 1890"
7893065,"Bimastos eiseni (Levinsen, 1884)",Bimastos eiseni,EXACT,"Bimastos eiseni (Levinsen, 1884)"
9675087,"Bimastos rubidus (Savigny, 1826)",Bimastos rubidus,EXACT,"Bimastos rubidus (Savigny, 1826)"
2308786,"Criodrilus lacuum Hoffmeister, 1845",Criodrilus lacuum,EXACT,"Criodrilus lacuum Hoffmeister, 1845"
8290434,"Dendrobaena attemsi (Michaelsen, 1903)",Dendrobaena attemsi,EXACT,"Dendrobaena attemsi (Michaelsen, 1903)"
7725323,"Dendrobaena hortensis (Michaelsen, 1890)",Dendrobaena hortensis,EXACT,"Dendrobaena hortensis (Michaelsen, 1890)"
7772922,"Dendrobaena octaedra (Savigny, 1826)",Dendrobaena octaedra,EXACT,"Dendrobaena octaedra (Savigny, 1826)"
7772922,Dendrobaena octaedra octaedra,Dendrobaena octaedra octaedra,EXACT,Dendrobaena octaedra octaedra
8452410,"Dendrobaena pygmaea (Savigny, 1826)",Dendrobaena pygmaea,EXACT,"Dendrobaena pygmaea (Savigny, 1826)"
5739805,"Dendrobaena veneta (Rosa, 1886)",Dendrobaena veneta,EXACT,"Dendrobaena veneta (Rosa, 1886)"
5739805,"Dendrobaena veneta veneta (Rosa, 1886) Rosa, 1886",Dendrobaena veneta veneta,EXACT,"Dendrobaena veneta veneta (Rosa, 1886) Rosa, 1886"
9715336,"Dendrodrilus rubidus (Savigny, 1826)",Dendrodrilus rubidus,EXACT,"Dendrodrilus rubidus (Savigny, 1826)"
9715336,"Dendrodrilus rubidus rubidus (Savigny, 1826)",Dendrodrilus rubidus rubidus,EXACT,"Dendrodrilus rubidus rubidus (Savigny, 1826)"
4410238,"Dichogaster bolaui (Michaelsen, 1891)",Dichogaster bolaui,EXACT,"Dichogaster bolaui (Michaelsen, 1891)"
4410236,"Dichogaster modiglianii (Rosa, 1896)",Dichogaster modiglianii,EXACT,"Dichogaster modiglianii (Rosa, 1896)"
4410240,"Dichogaster saliens (Beddard, 1893)",Dichogaster saliens,EXACT,"Dichogaster saliens (Beddard, 1893)"
