Region;MEOW;Action
Albania;Adriatic Sea;
Austria;Adriatic Sea;remove
Bosnia and Herzegovina;Adriatic Sea;
Croatia;Adriatic Sea;
Greece;Adriatic Sea;remove
Italy;Adriatic Sea;
Macedonia;Adriatic Sea;remove
Montenegro;Adriatic Sea;
San Marino;Adriatic Sea;remove
Serbia;Adriatic Sea;remove
Slovenia;Adriatic Sea;
Albania;Aegean Sea;remove
Bulgaria;Aegean Sea;remove
Crete;Aegean Sea;
Greece;Aegean Sea;
Macedonia;Aegean Sea;remove
Turkey;Aegean Sea;
South Africa;Agulhas Bank;
Algeria;Alboran Sea;
Gibraltar;Alboran Sea;
Morocco;Alboran Sea;
Spain;Alboran Sea;
Alaska;Aleutian Islands;add
United States;Aleutian Islands;remove
Brazil;Amazonia;
French Guiana;Amazonia;
Suriname;Amazonia;
Amsterdam Island;Amsterdam-St Paul;
Saint Paul (France);Amsterdam-St Paul;
Antarctica;Amundsen/Bellingshausen Sea;
Andaman and Nicobar Islands;Andaman and Nicobar Islands;
Malaysia;Andaman Sea Coral Coast;
Myanmar;Andaman Sea Coral Coast;
Thailand;Andaman Sea Coral Coast;
Angola;Angolan;
Antarctica;Antarctic Peninsula;
Bahrain;Arabian (Persian) Gulf;
Iran;Arabian (Persian) Gulf;
Iraq;Arabian (Persian) Gulf;
Kuwait;Arabian (Persian) Gulf;
Oman;Arabian (Persian) Gulf;
Qatar;Arabian (Persian) Gulf;
Saudi Arabia;Arabian (Persian) Gulf;
United Arab Emirates;Arabian (Persian) Gulf;
Indonesia;Arafura Sea;
Papua New Guinea;Arafura Sea;
Argentina;Araucanian;remove
Chile;Araucanian;
Australia;Arnhem Coast to Gulf of Carpenteria;
New Zealand;Auckland Island;
Azores;Azores Canaries Madeira;
Canary Islands;Azores Canaries Madeira;
Madeira;Azores Canaries Madeira;
Portugal;Azores Canaries Madeira;remove
Canada;Baffin Bay - Davis Strait;
Greenland;Baffin Bay - Davis Strait;
Bahamas;Bahamian;
Dominican Republic;Bahamian;
Puerto Rico;Bahamian;
Turks and Caicos;Bahamian;
Aland Islands;Baltic Sea;
Belarus;Baltic Sea;remove
Denmark;Baltic Sea;
Estonia;Baltic Sea;
Finland;Baltic Sea;
Germany;Baltic Sea;
Latvia;Baltic Sea;
Lithuania;Baltic Sea;
Poland;Baltic Sea;
Russia;Baltic Sea;
Sweden;Baltic Sea;
Indonesia;Banda Sea;
Sulawesi;Banda Sea;
Australia;Bassian;
Tasmania;Bassian;
Alaska;Beaufort Sea - continental coast and shelf;remove
Canada;Beaufort Sea - continental coast and shelf;
United States;Beaufort Sea - continental coast and shelf;remove
Canada;Beaufort-Amundsen-Viscount Melville-Queen Maud;
Bermuda;Bermuda;
Malawi;Bight of Sofala/Swamp Coast;remove
Mozambique;Bight of Sofala/Swamp Coast;
Zimbabwe;Bight of Sofala/Swamp Coast;
Papua New Guinea;Bismarck Sea;
Armenia;Black Sea;remove
Bulgaria;Black Sea;
Georgia;Black Sea;
Moldova;Black Sea;remove
Romania;Black Sea;
Russia;Black Sea;
Turkey;Black Sea;
Ukraine;Black Sea;
Australia;Bonaparte Coast;
New Zealand;Bounty and Antipodes Islands;
Bouvet Island;Bouvet Island;
New Zealand;Campbell Island;
Australia;Cape Howe;
Tasmania;Cape Howe;
Cape Verde;Cape Verde;
Scattered Islands;Cargados Carajos/Tromelin Island;
United States;Carolinian;
Channel Islands;Celtic Seas;
France;Celtic Seas;
Ireland;Celtic Seas;
Isle of Man;Celtic Seas;
Saint Martin;Celtic Seas;
United Kingdom;Celtic Seas;
Australia;Central and Southern Great Barrier Reef;
Argentina;Central Chile;remove
Chile;Central Chile;
Izu Islands;Central Kuroshio Current;
Japan;Central Kuroshio Current;
New Zealand;Central New Zealand;
Peru;Central Peru;
Ethiopia;Central Somali Coast;remove
Somalia;Central Somali Coast;
Chagos Archipelago;Chagos;
Argentina;Channels and Fjords of Southern Chile;
Chile;Channels and Fjords of Southern Chile;
New Zealand;Chatham Island;
Costa Rica;Chiapas-Nicaragua;
El Salvador;Chiapas-Nicaragua;
Guatemala;Chiapas-Nicaragua;
Honduras;Chiapas-Nicaragua;
Mexico;Chiapas-Nicaragua;
Nicaragua;Chiapas-Nicaragua;
Argentina;Chiloense;remove
Chile;Chiloense;
Alaska;Chukchi Sea;add
Russia;Chukchi Sea;
United States;Chukchi Sea;remove
Clipperton Island;Clipperton;
Costa Rica;Cocos Islands;remove
Christmas Island;Cocos-Keeling/Christmas Island;
Cocos (Keeling) Islands;Cocos-Keeling/Christmas Island;
Australia;Coral Sea;
Mexico;Cortezian;
Sea of Cortez Islands;Cortezian;
United States;Cortezian;remove
Crozet Islands Group;Crozet Islands;
Mozambique;Delagoa;
South Africa;Delagoa;
Swaziland;Delagoa;remove
Zimbabwe;Delagoa;
Kenya;East African Coral Coast;
