"taxon";"habitat_terrestrial";"habitat_freshwater";"habitat_brackish";"habitat_marine"
"Abaeis nicippe";NA;NA;NA;0
"Abax parallelepipedus";1;NA;NA;0
"Abbottina rivularis";0;1;1;0
"Abelia chinensis";NA;NA;NA;0
"Abelia uniflora";1;NA;NA;0
"Abelmoschus esculentus";1;NA;NA;0
"Abelmoschus ficulneus";1;NA;NA;0
"Abelmoschus manihot";1;NA;NA;0
"Abelmoschus manihot pungens";1;NA;NA;0
"Abelmoschus manihot tetraphyllus";NA;NA;NA;0
"Abelmoschus moschatus";1;NA;NA;0
"Abgrallaspis cyanophylli";1;NA;NA;0
"Abia fasciata";NA;NA;NA;0
"Abies alba";1;NA;NA;NA
"Abies amabilis";1;NA;NA;NA
"Abies balsamea";1;NA;NA;NA
"Abies cephalonica";1;NA;NA;NA
"Abies concolor";1;NA;NA;NA
"Abies firma";1;NA;NA;NA
"Abies fraseri";1;NA;NA;NA
"Abies grandis";1;NA;NA;NA
"Abies homolepis";1;NA;NA;NA
"Abies insignis";1;NA;NA;NA
"Abies koreana";1;NA;NA;NA
"Abies lasiocarpa";1;NA;NA;NA
"Abies magnifica";1;NA;NA;NA
"Abies mariesii";1;NA;NA;NA
"Abies nordmanniana";1;NA;NA;NA
"Abies nordmanniana equi-trojani";1;NA;NA;NA
"Abies numidica";1;NA;NA;NA
"Abies pinsapo";1;NA;NA;NA
"Abies procera";1;NA;NA;NA
"Abies sachalinensis";1;NA;NA;NA
"Abies sibirica";1;NA;NA;NA
"Abies veitchii";1;NA;NA;NA
"Ablattaria laevigata";NA;NA;NA;0
"Ablennes hians";0;0;1;1
"Ablerus chionaspidis";1;NA;NA;0
"Ablerus clisiocampae";1;NA;NA;0
"Ablerus perspeciosus";1;NA;NA;0
"Abra segmentum";NA;0;0;1
"Abramis brama";0;1;1;0
"Abramites hypselonotus";0;1;0;0
"Abroma augusta";1;NA;NA;0
"Abronia fragrans";1;NA;NA;0
"Abrus fruticulosus";1;NA;NA;0
"Abrus precatorius";1;NA;NA;0
"Abrus precatorius africanus";NA;NA;NA;0
"Abrus pulchellus";NA;NA;NA;0
"Abudefduf hoefleri";0;0;0;1
"Abudefduf saxatilis";0;0;0;1
"Abudefduf sexfasciatus";0;0;0;1
"Abudefduf vaigiensis";0;0;0;1
"Aburria cumanensis";1;0;0;0
"Aburria pipile";1;0;0;0
"Abutilon abutilon";NA;NA;NA;0
"Abutilon auritum";1;NA;NA;0
"Abutilon fruticosum";1;NA;NA;0
"Abutilon grandiflorum";1;NA;NA;0
"Abutilon grandifolium";1;NA;NA;0
"Abutilon hirtum";1;NA;NA;0
"Abutilon hybridum";1;NA;NA;0
"Abutilon indicum";1;NA;NA;0
"Abutilon indicum albescens";NA;NA;NA;0
"Abutilon indicum guineense";NA;NA;NA;0
"Abutilon mollissimum";NA;NA;NA;0
"Abutilon pannosum";1;NA;NA;0
"Abutilon permolle";NA;NA;NA;0
"Abutilon sonneratianum";NA;NA;NA;0
"Abutilon theophrasti";1;NA;NA;0
"Abutilon viscosum";NA;NA;NA;0
"Abyla trigona";0;0;0;1
"Acacia acinacea";NA;NA;NA;0
"Acacia acradenia";NA;NA;NA;0
"Acacia acuminata";NA;NA;NA;0
"Acacia adunca";1;NA;NA;0
"Acacia ampliceps";1;NA;NA;0
"Acacia anceps";NA;NA;NA;0
"Acacia andrewsii";NA;NA;NA;0
"Acacia aneura";1;NA;NA;0
"Acacia aulacocarpa";1;NA;NA;0
"Acacia auriculiformis";1;NA;NA;0
"Acacia baileyana";1;NA;NA;0
"Acacia beckleri";NA;NA;NA;0
"Acacia benthamii";1;NA;NA;0
"Acacia brachybotrya";NA;NA;NA;0
"Acacia buxifolia";1;NA;NA;0
"Acacia calcicola";NA;NA;NA;0
"Acacia cardiophylla";NA;NA;NA;0
"Acacia catechu";NA;NA;NA;0
"Acacia colei";1;NA;NA;0
"Acacia concinna";1;NA;NA;0
"Acacia concurrens";1;NA;NA;0
"Acacia conferta";NA;NA;NA;0
"Acacia confusa";1;NA;NA;0
"Acacia constricta";NA;NA;NA;0
"Acacia cornigera";1;NA;NA;0
"Acacia crassicarpa";1;NA;NA;0
"Acacia cultriformis";1;NA;NA;0
"Acacia cupularis";NA;NA;NA;0
"Acacia cyclops";1;NA;NA;0
"Acacia dealbata";1;NA;NA;0
"Acacia decora";1;NA;NA;0
"Acacia decurrens";1;NA;NA;0
"Acacia dentifera";NA;NA;NA;0
"Acacia dietrichiana";1;NA;NA;0
"Acacia difformis";NA;NA;NA;0
"Acacia dodonaeifolia";NA;NA;NA;0
"Acacia drummondii";NA;NA;NA;0
"Acacia elata";1;NA;NA;0
"Acacia elongata";NA;NA;NA;0
"Acacia extensa";NA;NA;NA;0
"Acacia falcata";NA;NA;NA;0
"Acacia farnesiana";1;NA;NA;0
"Acacia fimbriata";1;NA;NA;0
"Acacia flexifolia";NA;NA;NA;0
"Acacia floribunda";1;NA;NA;0
"Acacia genistifolia";NA;NA;NA;0
"Acacia glandulicarpa";NA;NA;NA;0
"Acacia glauca";NA;NA;NA;0
"Acacia hanburyana";NA;NA;NA;0
"Acacia hemiteles";1;NA;NA;0
"Acacia heterophylla";1;NA;NA;0
"Acacia holosericea";1;NA;NA;0
"Acacia horrida";NA;NA;NA;0
"Acacia howittii";NA;NA;NA;0
"Acacia implexa";1;NA;NA;0
"Acacia iteaphylla";NA;NA;NA;0
"Acacia juncifolia";NA;NA;NA;0
"Acacia kempeana";1;NA;NA;0
"Acacia koa";NA;NA;NA;0
"Acacia leprosa";NA;NA;NA;0
"Acacia leucophloea";NA;NA;NA;0
"Acacia ligulata";1;NA;NA;0
"Acacia linifolia";1;NA;NA;0
"Acacia longifolia";1;NA;NA;0
"Acacia longissima";NA;NA;NA;0
"Acacia macradenia";1;NA;NA;0
"Acacia maidenii";1;NA;NA;0
"Acacia mangium";1;NA;NA;0
"Acacia mearnsii";1;NA;NA;0
"Acacia melanoxylon";1;NA;NA;0
"Acacia mollifolia";NA;NA;NA;0
"Acacia murrayana";NA;NA;NA;0
"Acacia myrtifolia";1;NA;NA;0
"Acacia neriifolia";1;NA;NA;0
"Acacia nilotica";NA;NA;NA;0
"Acacia obtusata";NA;NA;NA;0
"Acacia omalophylla";1;NA;NA;0
"Acacia oxycedrus";NA;NA;NA;0
"Acacia paradoxa";1;NA;NA;0
"Acacia parramattensis";NA;NA;NA;0
"Acacia pendula";1;NA;NA;0
"Acacia penninervis";1;NA;NA;0
"Acacia podalyriifolia";1;NA;NA;0
"Acacia polystachya";1;NA;NA;0
"Acacia pravissima";NA;NA;NA;0
"Acacia prominens";NA;NA;NA;0
"Acacia provincialis";1;NA;NA;0
"Acacia pulchella";1;NA;NA;0
"Acacia pulchella glaberrima";NA;NA;NA;0
"Acacia pycnantha";1;NA;NA;0
"Acacia redolens";1;NA;NA;0
"Acacia retinodes";1;NA;NA;0
"Acacia richii";1;NA;NA;0
"Acacia rostellifera";NA;NA;NA;0
"Acacia rubida";NA;NA;NA;0
"Acacia salicina";1;NA;NA;0
