speciesKey,scientificName,matchType,Orig_name,nRecords
2501066,"Paratenuisentis ambiguus (Van Cleave, 1921)",EXACT,"Paratenuisentis ambiguus (Van Cleave, 1921)",17
2500461,"Acanthocephalus anguillae (Müller, 1780)",EXACT,"Acanthocephalus anguillae (Müller, 1780)",170
2500685,"Pomphorhynchus laevis (Zoega, 1776)",EXACT,"Pomphorhynchus laevis (Zoega, 1776)",271
4411080,"Erpobdella testacea (Savigny, 1822)",EXACT,"Erpobdella testacea (Savigny, 1822)",6522
2308887,"Hirudo medicinalis Linnaeus, 1758",EXACT,"Hirudo medicinalis Linnaeus, 1758",1810
4411124,"Trocheta cylindrica Orley, 1886",EXACT,"Trocheta cylindrica Orley, 1886",7
4411119,"Trocheta pseudodina Nesemann, 1990",EXACT,"Trocheta pseudodina Nesemann, 1990",267
7389097,"Cambarincola gracilis Robinson, 1954",EXACT,"Cambarincola gracilis Robinson, 1954",74
8256670,"Cambarincola mesochoreus Hoffman, 1963",EXACT,"Cambarincola mesochoreus Hoffman, 1963",143
8168527,"Cambarincola okadai Yamaguchi, 1933",EXACT,"Cambarincola okadai Yamaguchi, 1933",116
8274448,"Cambarincola pamelae Holt, 1984",EXACT,"Cambarincola pamelae Holt, 1984",21
7849089,"Xironogiton instabilius (Moore, 1894)",EXACT,"Xironogiton instabilius (Moore, 1894)",277
2307544,"Xironogiton victoriensis Gelder & Hall, 1990",EXACT,"Xironogiton victoriensis Gelder & Hall, 1990",152
4410938,"Allolobophora chlorotica (Savigny, 1826)",EXACT,"Allolobophora chlorotica (Savigny, 1826)",3608
8784979,"Allolobophora georgii Michaelsen, 1890",EXACT,"Allolobophora georgii Michaelsen, 1890",6
9144529,"Allolobophora japonica Michaelsen, 1891",EXACT,"Allolobophora japonica Michaelsen, 1891",37
9672769,"Allolobophora muldali Omodeo, 1956",EXACT,"Allolobophora muldali Omodeo, 1956",115
8941475,"Allolobophora parva Eisen, 1874",EXACT,"Allolobophora parva Eisen, 1874",17
8950917,"Allolobophora smaragdina Rosa, 1892",EXACT,"Allolobophora smaragdina Rosa, 1892",43
4410889,"Allolobophoridella eiseni (Levinsen, 1884)",EXACT,"Allolobophoridella eiseni (Levinsen, 1884)",57
2307759,"Aporrectodea caliginosa (Savigny, 1826)",EXACT,"Aporrectodea caliginosa (Savigny, 1826)",8451
4410778,"Aporrectodea limicola (Michaelsen, 1890)",EXACT,"Aporrectodea limicola (Michaelsen, 1890)",151
2307757,"Aporrectodea longa (Ude, 1885)",EXACT,"Aporrectodea longa (Ude, 1885)",1934
2307760,"Aporrectodea rosea (Savigny, 1826)",EXACT,"Aporrectodea rosea (Savigny, 1826)",3576
2307756,"Aporrectodea tuberculata (Eisen, 1874)",EXACT,"Aporrectodea tuberculata (Eisen, 1874)",39
6135528,"Bimastos parvus (Eisen, 1874)",EXACT,"Bimastos parvus (Eisen, 1874)",57
9675087,"Bimastos rubidus (Savigny, 1826)",EXACT,"Bimastos rubidus (Savigny, 1826)",2466
8290434,"Dendrobaena attemsi (Michaelsen, 1903)",EXACT,"Dendrobaena attemsi (Michaelsen, 1903)",342
7725323,"Dendrobaena hortensis (Michaelsen, 1890)",EXACT,"Dendrobaena hortensis (Michaelsen, 1890)",106
7772922,"Dendrobaena octaedra (Savigny, 1826)",EXACT,"Dendrobaena octaedra (Savigny, 1826)",2511
5739805,"Dendrobaena veneta (Rosa, 1886)",EXACT,"Dendrobaena veneta (Rosa, 1886)",190
5815559,"Eisenia andrei (Bouché, 1972)",EXACT,"Eisenia andrei (Bouché, 1972)",1128
8955108,"Eisenia carolinensis Michaelsen, 1910",EXACT,"Eisenia carolinensis Michaelsen, 1910",17
5815560,"Eisenia fetida (Savigny, 1826)",EXACT,"Eisenia fetida (Savigny, 1826)",1429
8282211,"Eiseniella neapolitana (Örley, 1885)",EXACT,"Eiseniella neapolitana (Örley, 1885)",6
2307762,"Eiseniella tetraedra (Savigny, 1826)",EXACT,"Eiseniella tetraedra (Savigny, 1826)",14276
4410646,"Enterion cyaneum Savigny, 1826",EXACT,"Enterion cyaneum Savigny, 1826",831
8904752,"Enterion festivum Savigny, 1826",EXACT,"Enterion festivum Savigny, 1826",317
4410819,"Enterion ictericum Savigny, 1826",EXACT,"Enterion ictericum Savigny, 1826",205
7361263,"Enterion pygmaeum Savigny, 1826",EXACT,"Enterion pygmaeum Savigny, 1826",22
4410649,"Enterion tyrtaeum Savigny, 1926",EXACT,"Enterion tyrtaeum Savigny, 1926",989
4410412,"Helodrilus oculatus Hoffmeister, 1845",EXACT,"Helodrilus oculatus Hoffmeister, 1845",53
9546247,"Hyperiodrilus africanus Beddard, 1891",EXACT,"Hyperiodrilus africanus Beddard, 1891",185
