scientificName,Taxon_origName
Abbottina rivularis,Abbottina rivularis
Ablennes hians,Ablennes hians
Abra segmentum,Abra segmentum
Abramis brama,Abramis brama
Abudefduf hoefleri,Abudefduf hoefleri
Abudefduf saxatilis,Abudefduf saxatilis
Abudefduf sexfasciatus,Abudefduf sexfasciatus
Abudefduf vaigiensis,Abudefduf vaigiensis
Abyla trigona,Abyla trigona
Acantharctus posteli,Acantharctus posteli
Acanthaster planci,Acanthaster planci
Acanthochromis polyacanthus,Acanthochromis polyacanthus
Acanthogobius flavimanus,Acanthogobius flavimanus
Acantholobulus pacificus,Acantholobulus pacificus
Orientomysis aspera,Acanthomysis aspera
Acanthopagrus bifasciatus,Acanthopagrus bifasciatus
Acanthophora muscoides,Acanthophora muscoides
Acanthophora nayadiformis,Acanthophora nayadiformis
Acanthophora spicifera,Acanthophora spicifera
Acanthopleura gemmata,Acanthopleura gemmata
Acanthosiphonia echinata,Acanthosiphonia echinata
Acanthurus achilles,Acanthurus achilles
Acanthurus chirurgus,Acanthurus chirurgus
Acanthurus coeruleus,Acanthurus coeruleus
Acanthurus guttatus,Acanthurus guttatus
Acanthurus monroviae,Acanthurus monroviae
Acanthurus pyroferus,Acanthurus pyroferus
Acanthurus sohal,Acanthurus sohal
Acar plicata,Acar plicata
Acartia (Odontacartia) centrura,Acartia centrura
Acartia (Acartiura) clausi,Acartia clausi
Acartia (Acanthacartia) fossae,Acartia fossae
Acartia (Acartiura) margalefi,Acartia margalefi
Acartia (Acartiura) omorii,Acartia omorii
Acartia (Odontacartia) spinicauda,Acartia spinicauda
Acartia (Acanthacartia) tonsa,Acartia tonsa
Acartiella sinensis,Acartiella sinensis
Acentrogobius pflaumii,Acentrogobius pflaumii
Acervulina inhaerens,Acervulina inhaerens
Acheilognathus macropterus,Acheilognathus macropterus
Acheilognathus tabira,Acheilognathus tabira
Achelia sawayai,Achelia sawayai
Achnanthes pseudogroenlandica,Achnanthes pseudogroenlandica
Acipenser baerii,Acipenser baerii
Acipenser fulvescens,Acipenser fulvescens
Acipenser gueldenstaedtii,Acipenser gueldenstaedtii
Acipenser naccarii,Acipenser naccarii
Acipenser nudiventris,Acipenser nudiventris
Acipenser oxyrinchus,Acipenser oxyrinchus
Acipenser ruthenus,Acipenser ruthenus
Acipenser sinensis,Acipenser sinensis
Acipenser stellatus,Acipenser stellatus
Acipenser transmontanus,Acipenser transmontanus
Acrocalanus gibber,Acrocalanus gibber
Acrochaetium catenulatum,Acrochaetium catenulatum
Colaconema leptonema,Acrochaetium leptonema
Acrochaetium microscopicum,Acrochaetium microscopicum
Acrochaetium moniliforme,Acrochaetium moniliforme
Colaconema savianum,Acrochaetium savianum
