scientificName,Taxon,phylum,class
"Paratenuisentis ambiguus (Van Cleave, 1921)",Paratenuisentis ambiguus,Acanthocephala,Eoacanthocephala
"Acanthocephalus anguillae (Müller, 1780)",Acanthocephalus anguillae,Acanthocephala,Palaeacanthocephala
"Pomphorhynchus laevis (Zoega, 1776)",Pomphorhynchus laevis,Acanthocephala,Palaeacanthocephala
"Erpobdella testacea (Savigny, 1822)",Erpobdella testacea,Annelida,Clitellata
"Hirudo medicinalis Linnaeus, 1758",Hirudo medicinalis,Annelida,Clitellata
"Trocheta cylindrica Orley, 1886",Trocheta cylindrica,Annelida,Clitellata
"Trocheta pseudodina Nesemann, 1990",Trocheta pseudodina,Annelida,Clitellata
"Cambarincola gracilis Robinson, 1954",Cambarincola gracilis,Annelida,Clitellata
"Cambarincola mesochoreus Hoffman, 1963",Cambarincola mesochoreus,Annelida,Clitellata
"Cambarincola okadai Yamaguchi, 1933",Cambarincola okadai,Annelida,Clitellata
"Cambarincola pamelae Holt, 1984",Cambarincola pamelae,Annelida,Clitellata
"Xironogiton instabilius (Moore, 1894)",Xironogiton instabilius,Annelida,Clitellata
"Xironogiton victoriensis Gelder & Hall, 1990",Xironogiton victoriensis,Annelida,Clitellata
"Allolobophora chlorotica (Savigny, 1826)",Allolobophora chlorotica,Annelida,Clitellata
"Allolobophora georgii Michaelsen, 1890",Allolobophora georgii,Annelida,Clitellata
"Allolobophora japonica Michaelsen, 1891",Allolobophora japonica,Annelida,Clitellata
"Allolobophora muldali Omodeo, 1956",Allolobophora muldali,Annelida,Clitellata
"Allolobophora parva Eisen, 1874",Allolobophora parva,Annelida,Clitellata
"Allolobophora smaragdina Rosa, 1892",Allolobophora smaragdina,Annelida,Clitellata
"Allolobophoridella eiseni (Levinsen, 1884)",Allolobophoridella eiseni,Annelida,Clitellata
"Aporrectodea caliginosa (Savigny, 1826)",Aporrectodea caliginosa,Annelida,Clitellata
Aporrectodea caliginosa caliginosa,Aporrectodea caliginosa caliginosa,Annelida,Clitellata
"Aporrectodea limicola (Michaelsen, 1890)",Aporrectodea limicola,Annelida,Clitellata
"Aporrectodea longa (Ude, 1885)",Aporrectodea longa,Annelida,Clitellata
"Aporrectodea rosea (Savigny, 1826)",Aporrectodea rosea,Annelida,Clitellata
"Aporrectodea tuberculata (Eisen, 1874)",Aporrectodea tuberculata,Annelida,Clitellata
"Bimastos parvus (Eisen, 1874)",Bimastos parvus,Annelida,Clitellata
"Bimastos rubidus (Savigny, 1826)",Bimastos rubidus,Annelida,Clitellata
"Dendrobaena attemsi (Michaelsen, 1903)",Dendrobaena attemsi,Annelida,Clitellata
"Dendrobaena hortensis (Michaelsen, 1890)",Dendrobaena hortensis,Annelida,Clitellata
"Dendrobaena octaedra (Savigny, 1826)",Dendrobaena octaedra,Annelida,Clitellata
Dendrobaena octaedra octaedra,Dendrobaena octaedra octaedra,Annelida,Clitellata
"Dendrobaena veneta (Rosa, 1886)",Dendrobaena veneta,Annelida,Clitellata
Dendrobaena veneta veneta,Dendrobaena veneta veneta,Annelida,Clitellata
"Eisenia andrei (Bouché, 1972)",Eisenia andrei,Annelida,Clitellata
"Eisenia carolinensis Michaelsen, 1910",Eisenia carolinensis,Annelida,Clitellata
"Eisenia fetida (Savigny, 1826)",Eisenia fetida,Annelida,Clitellata
"Eiseniella neapolitana (Örley, 1885)",Eiseniella neapolitana,Annelida,Clitellata
"Eiseniella tetraedra (Savigny, 1826)",Eiseniella tetraedra,Annelida,Clitellata
"Enterion cyaneum Savigny, 1826",Enterion cyaneum,Annelida,Clitellata
"Enterion festivum Savigny, 1826",Enterion festivum,Annelida,Clitellata
"Enterion ictericum Savigny, 1826",Enterion ictericum,Annelida,Clitellata
"Enterion pygmaeum Savigny, 1826",Enterion pygmaeum,Annelida,Clitellata
"Enterion tyrtaeum Savigny, 1926",Enterion tyrtaeum,Annelida,Clitellata
"Helodrilus oculatus Hoffmeister, 1845",Helodrilus oculatus,Annelida,Clitellata
"Hyperiodrilus africanus Beddard, 1891",Hyperiodrilus africanus,Annelida,Clitellata
"Lumbricus castaneus (Savigny, 1826)",Lumbricus castaneus,Annelida,Clitellata
"Lumbricus eugeniae Kinberg, 1867",Lumbricus eugeniae,Annelida,Clitellata
"Lumbricus friendi Cognetti, 1904",Lumbricus friendi,Annelida,Clitellata
"Lumbricus meliboeus Rosa, 1884",Lumbricus meliboeus,Annelida,Clitellata
"Lumbricus rubellus Hoffmeister, 1843",Lumbricus rubellus,Annelida,Clitellata
"Lumbricus terrestris Linnaeus, 1758",Lumbricus terrestris,Annelida,Clitellata
"Microscolex dubius (Fletcher, 1887)",Microscolex dubius,Annelida,Clitellata
